nama,alamat,tempat_lahir,phone_number,tanggal_lahir,ipk,tanggal_daftar
"Michelle Nurdiyanti, S.Sos",Gang PHH. Mustofa No. 4,Kota Administrasi Jakarta Barat,+62-95-434-0513,1974-01-25,3.54,2021-06-29
Ratih Wibowo,Jalan Abdul Muis No. 002,Payakumbuh,+62 (143) 505-3760,1974-03-13,3.46,2019-04-07
R.A. Winda Prasetyo,Jl. Veteran No. 07,Probolinggo,+62 (90) 736-8286,1975-08-19,3.53,2020-03-12
drg. Adikara Sitorus,Gang Antapani Lama No. 672,Kota Administrasi Jakarta Utara,+62 (417) 786-4239,1994-06-27,3.48,2022-09-17
"Drs. Kiandra Tarihoran, M.Ak",Gang Sentot Alibasa No. 0,Bekasi,+62-275-242-3720,1974-03-10,3.48,2020-08-29
Jumadi Purnawati,Gg. Suniaraja No. 911,Parepare,+62 (13) 233-0877,1970-10-27,3.46,2021-03-30
Makara Novitasari,Gang H.J Maemunah No. 9,Kendari,084 515 9884,1972-04-30,3.47,2022-04-23
R. Cemplunk Sihombing,Gg. Yos Sudarso No. 93,Bontang,+62-0425-344-8915,1995-09-22,3.54,2023-01-25
Cut Rahmi Prasetyo,Gg. Kutisari Selatan No. 73,Bekasi,+62 (0168) 177 7072,1985-09-29,3.46,2021-01-12
"Drs. Tiara Natsir, M.Farm",Gg. Pasirkoja No. 876,Tual,(018) 522-0294,1975-04-29,3.46,2021-01-21
H. Kalim Prasetya,Jl. Rawamangun No. 2,Bukittinggi,+62 (0309) 146-4889,2000-09-02,3.47,2022-09-19
Among Megantara,Jalan Kutai No. 9,Bontang,+62 (011) 385-9932,1983-01-25,3.45,2019-03-07
Genta Pranowo,Gg. Cihampelas No. 1,Bandar Lampung,085 662 6728,1976-04-30,3.36,2022-04-09
Carub Mahendra,Jl. PHH. Mustofa No. 74,Bontang,+62-642-316-3874,1993-09-09,3.38,2019-12-01
Hilda Yolanda,Gg. M.T Haryono No. 13,Tebingtinggi,(0189) 034-4081,2000-12-16,3.08,2021-01-25
"Rahmat Hakim, S.E.",Gg. M.T Haryono No. 51,Manado,+62 (68) 892 6430,1969-12-04,3.46,2019-11-10
Nova Prakasa,Jl. Sukabumi No. 6,Kupang,+62-0329-595-0329,1991-04-11,3.35,2022-07-28
Devi Mangunsong,Jl. Ciumbuleuit No. 7,Kendari,+62 (054) 665 4774,1994-07-19,3.33,2018-07-02
"Najwa Samosir, M.TI.",Jl. PHH. Mustofa No. 7,Gorontalo,(0959) 962 3190,1997-02-27,3.67,2019-11-23
Maria Maulana,Gg. Sukabumi No. 05,Palembang,0811775374,1996-02-26,3.5,2020-04-23
"R. Kamila Saputra, M.Farm",Jalan Siliwangi No. 4,Langsa,(041) 817 1947,1970-06-20,3.38,2018-09-03
"Leo Dabukke, S.Ked",Gg. Waringin No. 47,Cirebon,+62 (284) 248 6770,1981-11-30,3.65,2022-01-22
dr. Ade Permadi,Jl. Erlangga No. 12,Cirebon,+62-855-077-2517,1972-12-07,3.54,2018-09-13
Zelaya Adriansyah,Gang Astana Anyar No. 731,Tangerang,(072) 674-0717,1976-01-28,3.3,2022-11-03
Murti Prakasa,Jalan Otto Iskandardinata No. 230,Palembang,+62 (461) 394 9989,2002-10-13,3.3,2019-12-08
Hesti Riyanti,Gang Pelajar Pejuang No. 79,Tangerang,080 819 8700,1964-04-02,3.39,2020-11-27
Ciaobella Hastuti,Gg. PHH. Mustofa No. 1,Bukittinggi,080 667 0940,1970-04-16,3.27,2019-09-20
Lala Sihotang,Jalan Cihampelas No. 266,Sabang,(0799) 159-6626,1981-07-12,3.2,2018-05-31
Gatot Simbolon,Gg. R.E Martadinata No. 8,Padang,+62 (096) 696-3352,1981-10-05,3.4,2022-06-29
Soleh Puspasari,Jalan S. Parman No. 20,Kota Administrasi Jakarta Utara,+62 (0762) 711-3959,1996-06-12,3.43,2022-04-13
"T. Alambana Wasita, M.Farm",Gang Pacuan Kuda No. 5,Lhokseumawe,(0631) 234-1285,1967-01-04,3.16,2021-09-19
Hartaka Situmorang,Jalan Cikutra Timur No. 9,Tangerang,(034) 121 1757,1981-01-26,3.48,2020-05-23
Aurora Kuswandari,Gang KH Amin Jasuta No. 6,Palu,(039) 742 1598,1995-06-04,3.34,2021-02-25
Raden Susanti,Gg. Rumah Sakit No. 5,Pontianak,+62 (420) 095-0006,1991-12-18,3.35,2023-01-22
Suci Yulianti,Jl. Cikapayang No. 4,Binjai,(0767) 648 4347,1981-01-07,3.28,2020-07-20
Luluh Mayasari,Jalan PHH. Mustofa No. 44,Blitar,+62-050-727-6086,1979-09-25,3.08,2023-03-12
"Artawan Fujiati, M.M.",Gg. Stasiun Wonokromo No. 3,Gorontalo,(0633) 930 6619,1976-06-14,3.45,2019-07-07
Intan Hutasoit,Gang Merdeka No. 6,Tasikmalaya,+62-51-913-0168,1971-02-10,3.56,2021-03-19
"drg. Elvina Usada, S.E.",Jalan Cihampelas No. 1,Langsa,083 508 8585,1993-07-08,3.2,2022-01-10
Talia Rahayu,Gang Asia Afrika No. 4,Palembang,+62-0709-802-9847,1981-06-25,3.45,2022-11-21
Febi Habibi,Jalan Lembong No. 44,Manado,+62-155-248-8236,1980-02-19,3.41,2023-04-15
Daliono Hutasoit,Gang Sentot Alibasa No. 7,Medan,+62 (43) 513 3747,2003-02-05,3.43,2022-02-10
Karja Nasyidah,Gang Jayawijaya No. 7,Banjarmasin,(0087) 138 8441,1971-04-07,3.64,2020-12-06
"Vega Yuliarti, S.H.",Gang Monginsidi No. 309,Banjarmasin,+62 (0587) 596 2273,1970-07-04,3.5,2018-09-28
Betania Novitasari,Gang S. Parman No. 64,Batu,+62 (0832) 300 8819,1968-08-21,3.48,2020-01-09
Keisha Puspita,Gang Ciumbuleuit No. 2,Padang Sidempuan,+62 (14) 418 2812,1982-01-18,3.59,2019-10-04
dr. Ganda Prasetyo,Gg. Pasir Koja No. 24,Langsa,(0074) 602 9959,1983-08-30,3.42,2022-06-02
"Daruna Zulaika, M.Kom.",Jl. Gardujati No. 996,Samarinda,+62 (0811) 940 2056,1967-03-21,3.55,2019-03-05
KH. Irfan Mahendra,Jalan Siliwangi No. 42,Jayapura,+62-027-730-1317,1976-08-09,3.65,2019-04-24
Aisyah Yuniar,Gg. Kiaracondong No. 502,Surakarta,+62-007-599-6923,1996-12-08,3.35,2018-06-02
"Ciaobella Najmudin, S.Pt",Gang Sadang Serang No. 8,Padangpanjang,+62 (00) 077-6248,1976-04-04,3.42,2022-10-27
"T. Empluk Sihombing, M.M.",Gang Soekarno Hatta No. 9,Sungai Penuh,(0540) 456 3326,1964-08-21,3.32,2022-08-09
"R. Alika Utama, M.Farm",Gang Cikutra Timur No. 12,Cirebon,(049) 203-7446,1977-09-09,3.52,2018-05-27
Putri Lestari,Gang Kebonjati No. 550,Pekalongan,+62-65-785-7551,1993-11-30,3.52,2021-08-15
Timbul Wahyudin,Gang Moch. Toha No. 2,Pagaralam,+62-0651-770-7608,2001-02-04,3.1,2021-11-27
Drs. Ganda Kusumo,Jl. Bangka Raya No. 506,Padang,+62-583-607-3389,1981-06-03,3.2,2021-05-20
"dr. Kayun Gunarto, S.Ked",Jl. Rungkut Industri No. 279,Makassar,+62 (219) 531 4825,1996-04-08,3.35,2019-09-18
Panji Utama,Gg. Otto Iskandardinata No. 65,Gorontalo,+62 (653) 203 8622,1997-09-02,3.05,2022-01-01
"Winda Damanik, S.Psi",Gg. Monginsidi No. 6,Kota Administrasi Jakarta Utara,+62 (082) 392-7265,1967-06-15,3.58,2019-12-29
Harto Agustina,Jl. Rajawali Barat No. 7,Subulussalam,+62 (04) 534-0830,1996-07-19,3.52,2018-09-20
Sadina Sitorus,Gg. Veteran No. 8,Pagaralam,+62 (0200) 758-9938,1968-05-09,3.55,2019-07-01
R. Eka Tarihoran,Jalan Moch. Ramdan No. 56,Medan,(0649) 978 2792,1978-01-07,3.45,2022-06-24
Kenes Rahimah,Jalan Lembong No. 767,Pematangsiantar,+62 (044) 388-6983,1984-02-10,3.6,2019-10-04
Nilam Susanti,Jl. Suniaraja No. 62,Pasuruan,+62 (289) 531-1635,1994-02-10,3.45,2019-09-29
H. Wage Habibi,Jalan Soekarno Hatta No. 01,Lhokseumawe,+62 (190) 499 2130,1993-02-04,3.62,2021-06-30
"Samsul Pradana, S.Pd",Gg. H.J Maemunah No. 63,Bukittinggi,(084) 494 9438,1990-02-17,3.62,2021-07-01
"Narji Wasita, S.IP",Jalan M.H Thamrin No. 3,Batam,+62 (894) 077 2314,1991-09-19,3.02,2019-09-04
Niyaga Tarihoran,Gg. Kutisari Selatan No. 3,Pasuruan,081 923 5770,1975-10-28,3.18,2022-08-30
"Intan Melani, M.Farm",Jalan Monginsidi No. 352,Kediri,+62 (972) 511 0924,1986-06-21,3.62,2018-12-20
Maria Wibowo,Gg. Veteran No. 1,Tanjungpinang,(0766) 173 0106,1978-10-08,3.55,2018-09-15
Belinda Yulianti,Jl. Wonoayu No. 699,Surakarta,+62-335-430-0630,1972-02-15,3.66,2023-01-05
Oman Siregar,Jl. Raya Setiabudhi No. 65,Jayapura,+62-0244-451-1245,1993-02-25,3.0,2020-05-04
Queen Purnawati,Gg. Antapani Lama No. 82,Cilegon,(0192) 521 3986,2001-12-17,2.86,2019-12-04
Nabila Mulyani,Gang Rajawali Barat No. 41,Malang,+62 (124) 509 3861,1973-04-08,3.18,2023-05-20
Lasmanto Melani,Jl. Lembong No. 228,Bandung,0837232877,1977-01-26,3.4,2021-08-17
Kiandra Aryani,Jl. Rawamangun No. 452,Balikpapan,+62 (73) 402-9049,1995-05-18,3.19,2018-11-26
Julia Winarno,Gang Raya Setiabudhi No. 389,Tarakan,+62-0126-311-8488,1982-01-25,2.9,2019-09-06
"T. Jumari Hakim, M.Pd",Jalan Rungkut Industri No. 9,Kediri,+62 (0136) 225-1075,1969-03-31,3.28,2022-07-29
"Tgk. Tiara Sihombing, S.Gz",Gg. Rawamangun No. 756,Bau-Bau,0867905848,1999-04-05,3.44,2020-01-27
Mursita Widodo,Gang Waringin No. 016,Pematangsiantar,(0017) 375 6983,1997-02-21,3.17,2019-02-19
"Genta Irawan, S.I.Kom",Jalan Raya Setiabudhi No. 1,Lubuklinggau,+62-0407-989-0820,1977-04-20,3.3,2023-02-22
Jaiman Hakim,Jalan Erlangga No. 49,Padang Sidempuan,+62-047-864-6885,1964-01-11,2.82,2022-07-23
"Zalindra Suryatmi, S.Psi",Gg. Dr. Djunjunan No. 4,Tegal,085 917 2670,1992-07-18,3.2,2023-02-19
Diana Susanti,Gg. Monginsidi No. 61,Pagaralam,+62 (569) 954 2463,1967-12-17,3.3,2023-02-19
Lukman Jailani,Gg. Rawamangun No. 72,Cirebon,0800004405,1989-09-08,2.93,2023-04-07
Lanjar Halim,Gang KH Amin Jasuta No. 16,Banjar,081 413 9186,1989-11-18,2.93,2018-09-01
"Tugiman Pertiwi, M.M.",Jl. Indragiri No. 54,Sorong,0877211528,1980-03-21,3.5,2020-06-27
Fitriani Hassanah,Gang Moch. Ramdan No. 9,Sorong,+62-0063-031-1922,1974-09-20,3.6,2021-09-16
Jaswadi Situmorang,Jl. Kutisari Selatan No. 968,Cilegon,+62 (000) 670-7818,1966-01-23,3.62,2018-07-22
Gaduh Wastuti,Jalan Kendalsari No. 29,Mojokerto,+62-45-064-9218,2000-05-26,3.62,2021-02-24
Banara Novitasari,Jl. Jend. A. Yani No. 11,Bima,+62 (0555) 459 7044,1996-10-12,3.42,2023-03-26
Dt. Rizki Suwarno,Gang Rawamangun No. 79,Magelang,+62 (19) 627 0818,1997-03-03,3.38,2019-10-19
Galih Andriani,Gang Antapani Lama No. 1,Ambon,(048) 122 9239,1998-07-03,3.7,2019-11-22
Cager Pratama,Gg. Gardujati No. 497,Magelang,+62-511-109-2314,1979-02-05,3.52,2022-06-02
"Safina Purwanti, M.Pd",Gg. Waringin No. 33,Parepare,+62 (037) 698-6952,1993-05-10,3.78,2020-12-31
Darmana Sitompul,Jalan Kendalsari No. 637,Ternate,(095) 289-3672,1994-07-09,3.5,2021-02-02
"T. Karna Purwanti, S.E.I",Jalan M.T Haryono No. 9,Sukabumi,(0189) 141 6186,1991-02-01,3.6,2018-09-30
Yono Pradipta,Gg. Cikutra Barat No. 567,Medan,(039) 061 8665,1987-09-28,3.5,2023-03-14
"H. Wira Pratiwi, M.M.",Gang Dipenogoro No. 6,Sibolga,+62-0066-455-6580,1973-08-01,3.6,2021-12-26
Pangeran Safitri,Gg. Rumah Sakit No. 89,Blitar,087 225 7001,1983-12-04,3.4,2020-01-03
Zelda Gunawan,Gg. Rawamangun No. 066,Cilegon,+62 (083) 563-0256,1998-02-20,3.52,2021-08-04
Dt. Gaman Purnawati,Jalan M.T Haryono No. 469,Madiun,+62 (086) 095 2577,1972-08-15,3.39,2019-10-07
Maria Kuswoyo,Jalan Sukajadi No. 03,Balikpapan,(0073) 234 2521,1990-02-11,3.7,2018-12-13
"Tgk. Najwa Saragih, M.M.",Gang Suniaraja No. 030,Tanjungbalai,0876450965,1998-09-08,3.55,2022-10-23
"Ratna Pertiwi, S.E.",Jalan Ir. H. Djuanda No. 2,Yogyakarta,+62-0220-100-8746,1997-07-08,3.58,2021-12-03
Kardi Fujiati,Jl. Surapati No. 30,Pangkalpinang,+62-0961-697-6037,1988-10-12,3.07,2021-08-22
"Cut Bella Situmorang, S.E.",Jl. Ir. H. Djuanda No. 060,Pematangsiantar,+62 (915) 371 6003,2000-03-20,3.55,2023-05-04
Widya Gunawan,Jl. Cikapayang No. 491,Tangerang,+62 (0538) 598 1878,1969-06-24,3.24,2018-09-16
Latif Kusmawati,Jl. Moch. Ramdan No. 208,Kendari,+62-39-222-5985,1997-09-13,3.32,2022-05-29
Ulya Prastuti,Gg. Antapani Lama No. 4,Purwokerto,0864555509,2001-07-08,3.16,2019-04-01
R. Puput Suryatmi,Gg. Jend. A. Yani No. 929,Pariaman,+62 (098) 635-7962,1991-03-29,3.51,2023-05-06
Legawa Permata,Jl. Merdeka No. 1,Kota Administrasi Jakarta Timur,+62 (119) 660-3235,1986-12-04,3.31,2021-12-09
"Arta Kusmawati, S.IP",Gang Gegerkalong Hilir No. 216,Sibolga,(021) 426-1509,1984-01-29,3.02,2020-06-08
Lintang Hutagalung,Jl. Peta No. 32,Payakumbuh,+62 (0041) 080-8060,1993-01-15,3.22,2019-09-01
Lintang Mahendra,Jl. W.R. Supratman No. 73,Singkawang,+62-0235-557-3075,1983-04-19,3.48,2020-11-29
Emil Pangestu,Gang Kapten Muslihat No. 4,Banjarbaru,+62 (405) 066 0722,1990-03-30,3.34,2021-02-02
Ikhsan Kuswoyo,Gg. Ir. H. Djuanda No. 227,Yogyakarta,+62-818-315-5073,1985-05-05,3.32,2018-11-19
Vivi Waluyo,Jl. M.T Haryono No. 09,Padangpanjang,+62-76-669-4233,1988-11-11,3.2,2018-11-10
Pranawa Oktaviani,Gang Rawamangun No. 20,Cirebon,0830444447,1968-09-02,3.04,2021-10-03
Digdaya Saefullah,Jalan Suryakencana No. 26,Bau-Bau,+62-62-041-7811,1987-08-12,3.25,2022-01-25
"Ifa Januar, S.Sos",Jl. Antapani Lama No. 61,Langsa,+62 (774) 858-3255,1989-11-05,3.63,2022-12-26
Anita Widiastuti,Gg. PHH. Mustofa No. 24,Denpasar,+62 (098) 221-8839,1997-04-21,3.39,2022-09-28
Prayogo Yuliarti,Gg. Kendalsari No. 486,Palembang,(034) 648 8890,1970-05-20,3.14,2021-11-14
Titi Suartini,Gang Ronggowarsito No. 4,Lhokseumawe,+62 (0813) 215 7976,1973-11-22,3.65,2022-09-05
"Dalimin Manullang, S.T.",Gg. Indragiri No. 162,Kota Administrasi Jakarta Barat,+62 (0664) 454 0309,1997-05-31,3.12,2018-10-03
Galang Hartati,Jalan Suniaraja No. 2,Pariaman,+62-0508-257-1595,1993-03-14,3.52,2018-09-23
"Sutan Raihan Pradana, S.T.",Jl. Sukabumi No. 4,Bontang,+62-0969-493-8388,1992-05-31,3.01,2019-04-07
"Dwi Waskita, S.Kom",Jl. Soekarno Hatta No. 0,Bandar Lampung,+62 (0239) 160-8199,1978-08-08,2.93,2022-10-17
Zalindra Pratiwi,Jl. Suryakencana No. 5,Tual,+62 (566) 659-6407,1978-12-22,3.34,2019-04-04
Cici Pradipta,Jl. Cikutra Barat No. 253,Padang,083 490 8546,1967-01-16,3.33,2019-03-09
Janet Habibi,Jl. Rumah Sakit No. 0,Padang,+62-0678-743-8418,1995-12-14,3.39,2022-11-22
Dr. Indah Maulana,Gang BKR No. 64,Padang,(096) 990 0173,1996-07-24,3.44,2019-07-09
"Dr. Prabowo Hutasoit, S.Sos",Jl. Lembong No. 46,Langsa,087 374 9767,1978-05-28,3.46,2019-12-16
Malika Hutapea,Gang Yos Sudarso No. 02,Pasuruan,+62 (049) 586 1560,1993-09-14,3.49,2019-08-20
Lili Mansur,Jl. HOS. Cokroaminoto No. 3,Lubuklinggau,+62 (0219) 337 2628,1967-03-25,3.62,2020-10-22
"Zelaya Safitri, S.Sos",Gang Surapati No. 278,Bengkulu,+62 (021) 659-1596,1987-09-03,3.55,2019-03-16
"drg. Cengkir Mustofa, S.Gz",Gg. Rungkut Industri No. 500,Bekasi,+62-0796-754-9395,1964-02-14,3.38,2019-01-29
Yance Melani,Jalan Medokan Ayu No. 2,Dumai,+62 (65) 144 0363,1977-02-11,3.32,2022-01-18
Dr. Dono Sinaga,Gg. Rajawali Barat No. 15,Singkawang,(0763) 863 7551,1982-12-24,3.35,2019-10-19
Endah Kuswandari,Jl. Kendalsari No. 00,Bandung,+62-865-195-0026,1989-06-27,3.51,2019-01-29
Diah Maryati,Jl. Rawamangun No. 461,Kota Administrasi Jakarta Timur,(028) 009-3710,1983-12-08,3.51,2020-01-15
Danang Wibisono,Gang S. Parman No. 92,Makassar,+62 (093) 691-0081,1966-04-10,3.49,2021-09-25
Bakiadi Hidayat,Gang Medokan Ayu No. 776,Probolinggo,(066) 377 1311,1986-11-25,3.59,2022-06-02
H. Manah Puspita,Gang Ciumbuleuit No. 38,Bekasi,+62 (033) 233-0478,1988-09-10,3.65,2018-10-31
"Puti Amalia Handayani, S.Ked",Gang Joyoboyo No. 4,Magelang,+62 (092) 238 6634,1997-08-14,3.67,2020-12-29
Dodo Suryatmi,Gg. Indragiri No. 7,Tegal,+62 (0066) 842 4340,1981-11-09,3.49,2019-07-27
Emas Hassanah,Gg. Astana Anyar No. 9,Kotamobagu,0816497418,1988-09-20,3.12,2023-01-04
Bakda Gunawan,Gang Erlangga No. 7,Palembang,(0012) 808 8110,1978-07-29,3.38,2021-05-15
"Talia Pertiwi, S.IP",Gg. Cempaka No. 296,Pekalongan,+62 (040) 928 2564,1992-02-28,3.61,2022-09-12
Asmuni Simbolon,Gang Kebonjati No. 5,Sawahlunto,+62 (0776) 866 4419,1990-05-13,3.64,2020-08-07
"Dr. Mulyanto Adriansyah, S.Pd",Gang Cihampelas No. 860,Payakumbuh,(0335) 746 3561,1999-12-08,2.94,2022-10-29
Cinthia Prabowo,Gg. Moch. Ramdan No. 50,Bitung,+62 (566) 997-0191,1991-03-16,3.3,2021-09-15
"Hj. Ana Sitompul, M.Pd",Jl. Peta No. 84,Pematangsiantar,081 030 0876,1999-05-09,3.41,2018-07-21
Jarwi Fujiati,Jalan Rajiman No. 654,Pariaman,(0235) 256-1796,1986-11-12,3.31,2023-04-20
Gada Pratama,Jalan Rumah Sakit No. 802,Batu,+62 (46) 586 2455,1996-10-16,3.2,2020-09-28
Dr. Yono Maryadi,Jalan Gardujati No. 42,Cilegon,+62-53-635-3768,1976-09-12,3.66,2022-02-13
Siska Namaga,Jalan K.H. Wahid Hasyim No. 1,Bima,+62 (79) 269-3882,1979-12-11,3.53,2021-07-09
Gabriella Gunawan,Jalan Yos Sudarso No. 935,Banjarbaru,+62 (499) 173-9494,1974-11-10,3.71,2022-06-22
R.M. Luwar Dabukke,Jalan Sukajadi No. 31,Manado,+62 (65) 638 2623,2001-07-25,3.09,2019-06-29
R.A. Elisa Nuraini,Jalan Tebet Barat Dalam No. 812,Pontianak,(091) 038-8459,1966-10-28,3.55,2018-08-11
Nadine Siregar,Jalan M.H Thamrin No. 02,Banda Aceh,(091) 467 2325,1981-03-06,3.63,2021-02-20
"R. Indah Dongoran, S.Ked",Gg. Astana Anyar No. 17,Sungai Penuh,+62-034-321-2530,1978-08-07,3.53,2023-05-17
Cahya Jailani,Jalan Laswi No. 738,Tangerang Selatan,0842039122,1985-05-08,3.29,2020-02-18
"Siti Suryono, M.M.",Jl. Gegerkalong Hilir No. 3,Surabaya,+62 (076) 117 5406,1977-12-21,3.53,2020-03-21
Imam Kusumo,Jl. Pelajar Pejuang No. 66,Pontianak,+62-0245-699-0904,2002-01-24,3.03,2020-06-02
Ulya Jailani,Jalan Gedebage Selatan No. 82,Pangkalpinang,+62-099-005-8797,1965-04-24,3.19,2023-01-07
Uda Rajasa,Jl. Abdul Muis No. 7,Bau-Bau,+62 (0044) 885 0841,1980-08-17,3.53,2019-10-29
Sidiq Zulkarnain,Gang Rawamangun No. 168,Palu,+62 (054) 893 4730,1988-10-01,3.35,2020-11-21
Maras Pertiwi,Jalan KH Amin Jasuta No. 126,Balikpapan,088 506 3129,1978-01-01,3.16,2022-07-01
"Parman Iswahyudi, S.H.",Jl. Rajiman No. 5,Tasikmalaya,+62 (447) 653-8913,1993-01-23,3.23,2020-05-12
"Tgk. Paramita Farida, S.T.",Gg. Raya Setiabudhi No. 6,Lhokseumawe,(032) 471 9654,2000-09-05,3.3,2018-07-25
KH. Karma Putra,Jl. Raya Ujungberung No. 79,Jayapura,(085) 555-3474,1983-11-18,3.32,2020-02-28
Fitriani Maheswara,Jalan Monginsidi No. 289,Tual,+62 (755) 238-1322,1994-08-30,3.36,2022-11-15
"R. Fitriani Wahyudin, M.Farm",Gang Suniaraja No. 63,Tarakan,+62-707-722-7406,1989-03-11,3.36,2021-03-09
Febi Ramadan,Jalan Tubagus Ismail No. 003,Meulaboh,+62-0903-662-0081,2000-07-23,3.23,2021-05-01
Lantar Anggraini,Jl. Monginsidi No. 479,Padang Sidempuan,0837843752,1981-05-13,3.51,2019-08-14
Oman Setiawan,Jl. Stasiun Wonokromo No. 2,Ternate,+62 (528) 874 8966,1994-07-03,3.18,2021-03-02
"Gaman Prasetyo, S.I.Kom",Gg. Pasteur No. 48,Pasuruan,083 333 5249,1990-06-06,3.33,2019-08-07
"R. Kenzie Januar, S.Kom",Gang Cihampelas No. 9,Tebingtinggi,0853153043,1977-11-12,3.26,2021-03-02
"Banawi Kuswandari, S.Farm",Gg. Pacuan Kuda No. 90,Tangerang,+62-985-973-7046,1980-06-13,3.32,2021-07-02
Marwata Nuraini,Gang Setiabudhi No. 759,Pematangsiantar,+62 (0537) 904 9317,1973-12-23,3.26,2020-11-02
Ciaobella Yuniar,Jl. Pasteur No. 70,Padang,+62-0090-274-4212,1992-09-03,3.54,2018-10-09
"Ella Prasetya, S.Psi",Gg. W.R. Supratman No. 9,Sawahlunto,+62 (67) 296 9875,1977-10-10,3.33,2020-04-12
Murti Rajasa,Jalan K.H. Wahid Hasyim No. 349,Jayapura,+62-0828-803-0848,1988-02-17,3.22,2022-08-16
Julia Laksmiwati,Jalan Jakarta No. 46,Prabumulih,+62 (0564) 995-7504,1996-06-25,3.22,2020-03-22
Michelle Usada,Gg. Rajawali Timur No. 79,Cimahi,+62-066-830-7373,1978-07-23,3.32,2020-09-06
Alika Padmasari,Gang Ciumbuleuit No. 5,Palangkaraya,+62-672-135-3626,1981-03-25,3.35,2021-05-31
"Cut Tari Saptono, S.Farm",Gang Ahmad Dahlan No. 786,Banjarbaru,+62-0486-955-8147,1997-09-14,3.36,2020-07-12
"Ir. Lala Januar, S.Ked",Jl. Yos Sudarso No. 4,Semarang,084 111 7909,1997-05-29,3.29,2021-07-26
Yani Widiastuti,Gang Jayawijaya No. 875,Sungai Penuh,+62 (189) 886 5424,1990-05-04,3.39,2022-12-06
"Drs. Keisha Mangunsong, S.Psi",Gg. Waringin No. 51,Padangpanjang,+62-303-494-7795,1998-08-02,3.26,2018-07-05
"H. Balangga Setiawan, S.E.",Gang Dipenogoro No. 2,Pekanbaru,+62-038-945-2938,1964-09-11,3.28,2022-04-12
Wage Suartini,Gang BKR No. 8,Samarinda,+62 (968) 780-9511,2001-04-16,3.2,2021-08-07
Balapati Wibisono,Jalan Monginsidi No. 58,Pasuruan,+62-0725-812-1532,1966-03-30,3.3,2019-09-02
drg. Aisyah Nashiruddin,Gang Dipatiukur No. 804,Probolinggo,(007) 154-7038,1980-10-28,3.26,2023-01-05
Raditya Halim,Gg. Cempaka No. 2,Kediri,082 877 6761,1966-06-24,3.07,2023-05-10
"Drs. Balidin Hidayat, S.E.",Jalan Veteran No. 45,Medan,+62 (94) 748-6997,1988-08-15,3.36,2023-03-14
Estiono Ardianto,Gg. Lembong No. 7,Pangkalpinang,+62 (0063) 454 0300,1977-11-28,2.66,2021-08-04
"Vanya Zulaika, S.T.",Jl. Kebonjati No. 790,Kediri,083 419 9110,1967-06-12,3.19,2018-12-07
"Kasim Lestari, S.E.I",Gang Indragiri No. 4,Bitung,+62 (063) 217-5120,1988-05-15,3.17,2020-12-13
Septi Saefullah,Jalan R.E Martadinata No. 92,Probolinggo,(079) 070-8387,1964-01-01,3.49,2020-06-11
"H. Lanjar Gunawan, M.Farm",Jalan Ronggowarsito No. 398,Bogor,+62 (047) 676-3506,1965-05-26,3.33,2022-08-11
Najwa Handayani,Jalan Pacuan Kuda No. 46,Pagaralam,+62 (05) 849 4559,1975-12-03,3.58,2019-06-30
Ian Adriansyah,Gang Waringin No. 93,Kota Administrasi Jakarta Pusat,+62-0626-577-3853,1988-02-27,3.42,2021-10-01
Rahayu Hasanah,Gang Rajiman No. 21,Kupang,(0387) 782-6040,1967-03-04,3.66,2021-02-07
"dr. Widya Hassanah, S.E.I",Jalan Cihampelas No. 5,Bitung,+62 (673) 621-8810,1995-08-13,3.65,2021-03-19
Olga Damanik,Gg. Rawamangun No. 78,Tarakan,(051) 386-9588,1995-01-21,3.72,2023-04-05
Aisyah Safitri,Jl. Cihampelas No. 4,Kendari,+62 (354) 886-7871,1978-01-20,3.65,2019-05-18
Karen Ramadan,Jl. Cikutra Timur No. 8,Tual,(0578) 031-6807,1988-12-06,1.75,2023-03-25
KH. Makuta Setiawan,Jalan Pasteur No. 732,Tebingtinggi,(054) 925-1203,1963-10-04,1.75,2018-06-19
"Irnanto Dabukke, M.Pd",Gg. Pasirkoja No. 529,Mojokerto,+62 (068) 467 3597,1995-07-22,1.75,2019-12-03
"Tantri Saputra, S.E.I",Jalan Erlangga No. 6,Yogyakarta,+62 (095) 646 9522,1995-01-27,3.5,2020-11-24
Lembah Jailani,Jalan Cikapayang No. 1,Malang,+62 (739) 623-0819,1985-04-09,3.25,2023-02-25
Raina Sitompul,Gg. Sadang Serang No. 0,Kendari,+62 (038) 451 0854,1971-07-28,3.5,2020-04-25
"Drs. Salwa Tamba, S.IP",Gang Tubagus Ismail No. 179,Kotamobagu,080 800 8319,1991-07-12,3.5,2019-10-02
"Drs. Tedi Puspita, S.E.I",Jl. Waringin No. 4,Manado,+62 (0382) 042-6340,1972-04-15,3.5,2019-04-20
Syahrini Halimah,Gg. K.H. Wahid Hasyim No. 8,Bandung,+62-28-102-2166,1980-11-15,3.5,2019-03-02
Kani Situmorang,Jl. Peta No. 89,Pekalongan,+62-0288-161-5765,1987-12-07,3.5,2021-10-22
Setya Hutagalung,Jl. Sentot Alibasa No. 853,Pekalongan,+62 (0946) 859-3180,1999-03-15,3.5,2020-01-03
H. Murti Wijaya,Jalan Kebonjati No. 25,Pasuruan,+62-0036-313-7943,1970-05-26,3.25,2022-12-04
